Month_Registered,Zip_Code,City,County,Total_EV_Registrations
2020-07-31,20839,Beallsville,Montgomery County,1
2020-07-31,20841,Boyds,Montgomery County,116
2020-07-31,20842,Dickerson,Montgomery County,22
2020-07-31,20847,Rockville,Montgomery County,0
2020-07-31,20848,Rockville,Montgomery County,0
2020-07-31,20849,Rockville,Montgomery County,0
2020-07-31,20850,Rockville,Montgomery County,634
2020-07-31,20851,Rockville,Montgomery County,76
2020-07-31,20852,Rockville,Montgomery County,403
2020-07-31,20853,Rockville,Montgomery County,166
2020-07-31,20854,Potomac,Montgomery County,1046
2020-07-31,20855,Derwood,Montgomery County,212
2020-07-31,20857,Rockville,Montgomery County,0
2020-07-31,20859,Potomac,Montgomery County,0
2020-07-31,20860,Sandy Spring,Montgomery County,19
2020-07-31,20861,Ashton,Montgomery County,29
2020-07-31,20862,Brinklow,Montgomery County,5
2020-07-31,20866,Burtonsville,Montgomery County,57
2020-07-31,20868,Spencerville,Montgomery County,7
2020-07-31,20871,Clarksburg,Montgomery County,425
2020-07-31,20872,Damascus,Montgomery County,87
2020-07-31,20874,Germantown,Montgomery County,308
2020-07-31,20875,Germantown,Montgomery County,0
2020-07-31,20876,Germantown,Montgomery County,142
2020-07-31,20877,Gaithersburg,Montgomery County,131
2020-07-31,20878,Gaithersburg,Montgomery County,739
2020-07-31,20879,Gaithersburg,Montgomery County,109
2020-07-31,20880,Washington Grove,Montgomery County,6
2020-07-31,20882,Gaithersburg,Montgomery County,157
2020-07-31,20883,Gaithersburg,Montgomery County,0
2020-07-31,20884,Gaithersburg,Montgomery County,0
2020-07-31,20885,Gaithersburg,Montgomery County,0
2020-07-31,20886,Montgomery Village,Montgomery County,116
2020-07-31,20889,Bethesda,Montgomery County,0
2020-07-31,20891,Kensington,Montgomery County,0
2020-07-31,20892,Bethesda,Montgomery County,0
2020-07-31,20894,Bethesda,Montgomery County,0
2020-07-31,20895,Kensington,Montgomery County,222
2020-07-31,20896,Garrett Park,Montgomery County,23
2020-07-31,20897,Suburb Maryland Fac,Montgomery County,0
2020-07-31,20898,Gaithersburg,Montgomery County,0
2020-07-31,20899,Gaithersburg,Montgomery County,0
2020-07-31,20901,Silver Spring,Montgomery County,213
2020-07-31,20902,Silver Spring,Montgomery County,226
2020-07-31,20903,Silver Spring,Montgomery County,47
2020-07-31,20904,Silver Spring,Montgomery County,236
2020-07-31,20905,Silver Spring,Montgomery County,126
2020-07-31,20906,Silver Spring,Montgomery County,268
2020-07-31,20907,Silver Spring,Montgomery County,0
2020-07-31,20908,Silver Spring,Montgomery County,0
2020-07-31,20910,Silver Spring,Montgomery County,395
2020-07-31,20911,Silver Spring,Montgomery County,0
2020-07-31,20912,Takoma Park,Montgomery County,233
2020-07-31,20913,Takoma Park,Montgomery County,0
2020-07-31,20914,Silver Spring,Montgomery County,0
2020-07-31,20915,Silver Spring,Montgomery County,0
2020-07-31,20916,Silver Spring,Montgomery County,0
2020-07-31,20918,Silver Spring,Montgomery County,0
2020-07-31,20993,Silver Spring,Montgomery County,0
2020-07-31,20997,Silver Spring,Montgomery County,0
2020-07-31,21001,Aberdeen,Harford County,47
2020-07-31,21005,Aberdeen Proving Ground,Harford County,5
2020-07-31,21009,Abingdon,Harford County,64
2020-07-31,21010,Gunpowder,Harford County,2
2020-07-31,21012,Arnold,Anne Arundel County,114
2020-07-31,21013,Baldwin,Baltimore County,25
2020-07-31,21014,Bel Air,Harford County,89
2020-07-31,21015,Bel Air,Harford County,95
2020-07-31,21017,Belcamp,Harford County,14
2020-07-31,21018,Benson,Harford County,0
2020-07-31,21020,Boring,Baltimore County,0
2020-07-31,21022,Brooklandville,Baltimore County,0
2020-07-31,21023,Butler,Baltimore County,3
2020-07-31,21027,Chase,Baltimore County,0
2020-07-31,21028,Churchville,Harford County,12
2020-07-31,21029,Clarksville,Howard County,296
2020-07-31,21030,Cockeysville,Baltimore County,124
2020-07-31,21031,Hunt Valley,Baltimore County,4
2020-07-31,21032,Crownsville,Anne Arundel County,82
2020-07-31,21034,Darlington,Harford County,4
2020-07-31,21035,Davidsonville,Anne Arundel County,78
2020-07-31,21036,Dayton,Howard County,40
2020-07-31,21037,Edgewater,Anne Arundel County,145
2020-07-31,21040,Edgewood,Harford County,30
2020-07-31,21041,Ellicott City,Howard County,0
2020-07-31,21042,Ellicott City,Howard County,502
2020-07-31,21043,Ellicott City,Howard County,394
2020-07-31,21044,Columbia,Howard County,365
2020-07-31,21045,Columbia,Howard County,247
2020-07-31,21046,Columbia,Howard County,128
2020-07-31,21047,Fallston,Harford County,45
2020-07-31,21048,Finksburg,Carroll County,51
2020-07-31,21050,Forest Hill,Harford County,50
2020-07-31,21051,Fork,Baltimore County,1
2020-07-31,21052,Fort Howard,Baltimore County,0
2020-07-31,21053,Freeland,Baltimore County,8
2020-07-31,21054,Gambrills,Anne Arundel County,92
2020-07-31,21056,Gibson Island,Anne Arundel County,6
2020-07-31,21057,Glen Arm,Baltimore County,30
2020-07-31,21060,Glen Burnie,Anne Arundel County,119
2020-07-31,21061,Glen Burnie,Anne Arundel County,87
2020-07-31,21062,Glen Burnie,Anne Arundel County,0
2020-07-31,21065,Hunt Valley,Baltimore County,0
2020-07-31,21071,Glyndon,Baltimore County,3
2020-07-31,21074,Hampstead,Carroll County,33
2020-07-31,21075,Elkridge,Howard County,203
2020-07-31,21076,Hanover,Anne Arundel County,178
2020-07-31,21077,Harmans,Anne Arundel County,2
2020-07-31,21078,Havre De Grace,Harford County,88
2020-07-31,21082,Hydes,Baltimore County,5
2020-07-31,21084,Jarrettsville,Harford County,12
2020-07-31,21085,Joppa,Harford County,21
2020-07-31,21087,Kingsville,Baltimore County,24
2020-07-31,21088,Lineboro,Carroll County,0
2020-07-31,21090,Linthicum Heights,Anne Arundel County,39
2020-07-31,21092,Long Green,Baltimore County,0
2020-07-31,21093,Lutherville Timonium,Baltimore County,251
2020-07-31,21094,Lutherville Timonium,Baltimore County,1
2020-07-31,21098,Hanover,Anne Arundel County,0
2020-07-31,21102,Manchester,Carroll County,26
2020-07-31,21104,Marriottsville,Carroll County,69
2020-07-31,21105,Maryland Line,Baltimore County,0
2020-07-31,21106,Mayo,Anne Arundel County,0
2020-07-31,21108,Millersville,Anne Arundel County,105
2020-07-31,21111,Monkton,Baltimore County,39
2020-07-31,21113,Odenton,Anne Arundel County,161
2020-07-31,21114,Crofton,Anne Arundel County,92
2020-07-31,21117,Owings Mills,Baltimore County,271
2020-07-31,21120,Parkton,Baltimore County,40
2020-07-31,21122,Pasadena,Anne Arundel County,155
2020-07-31,21123,Pasadena,Anne Arundel County,0
2020-07-31,21128,Perry Hall,Baltimore County,62
2020-07-31,21130,Perryman,Harford County,0
2020-07-31,21131,Phoenix,Baltimore County,59
2020-07-31,21132,Pylesville,Harford County,1
2020-07-31,21133,Randallstown,Baltimore County,38
2020-07-31,21136,Reisterstown,Baltimore County,170
2020-07-31,21139,Riderwood,Baltimore County,0
2020-07-31,21140,Riva,Anne Arundel County,24
2020-07-31,21144,Severn,Anne Arundel County,156
2020-07-31,21146,Severna Park,Anne Arundel County,234
2020-07-31,21150,Simpsonville,Howard County,0
2020-07-31,21152,Sparks Glencoe,Baltimore County,61
2020-07-31,21153,Stevenson,Baltimore County,15
2020-07-31,21154,Street,Harford County,10
2020-07-31,21155,Upperco,Baltimore County,8
2020-07-31,21156,Upper Falls,Baltimore County,2
2020-07-31,21157,Westminster,Carroll County,87
2020-07-31,21158,Westminster,Carroll County,60
2020-07-31,21160,Whiteford,Harford County,2
2020-07-31,21161,White Hall,Harford County,22
2020-07-31,21162,White Marsh,Baltimore County,17
2020-07-31,21163,Woodstock,Howard County,67
2020-07-31,21201,Baltimore,Baltimore City,55
2020-07-31,21202,Baltimore,Baltimore City,64
