Zip_Code,City,County,Current_Actual_EV_Registrations,Current_Predicted_EV_Registrations,Predicted_EV_Registrations_1_Year,Predicted_EV_Registrations_3_Years,Predicted_EV_Registrations_5_Years,Charging_Station_Count,Current_Need_Score,Need_Score_1_Year,Need_Score_3_Years,Need_Score_5_Years
21045,Columbia,Howard County,1196,1206,1520,2674,3978,3,301.5,380.0,668.5,994.5
21228,Catonsville,Baltimore County,1033,1023,1425,2452,3978,3,255.8,356.2,613.0,994.5
20910,Silver Spring,Montgomery County,1628,1674,2192,3969,3978,3,418.5,548.0,992.2,994.5
21029,Clarksville,Howard County,1243,1254,1622,3025,3978,3,313.5,405.5,756.2,994.5
21047,Fallston,Harford County,267,266,354,615,977,0,266.0,354.0,615.0,977.0
21804,Salisbury,Wicomico County,259,263,349,616,970,0,263.0,349.0,616.0,970.0
20659,Mechanicsville,Saint Mary's County,218,222,299,559,965,0,222.0,299.0,559.0,965.0
20737,Riverdale,Prince George's County,219,220,302,574,954,0,220.0,302.0,574.0,954.0
21740,Hagerstown,Washington County,594,594,758,1132,1879,1,297.0,379.0,566.0,939.5
20716,Bowie,Prince George's County,627,633,834,1204,1879,1,316.5,417.0,602.0,939.5
21901,North East,Cecil County,224,222,301,564,929,0,222.0,301.0,564.0,929.0
20735,Clinton,Prince George's County,688,699,857,1168,1848,1,349.5,428.5,584.0,924.0
21738,Glenwood,Howard County,217,217,293,540,900,0,217.0,293.0,540.0,900.0
20715,Bowie,Prince George's County,625,631,805,1163,1794,1,315.5,402.5,581.5,897.0
21214,Baltimore,Baltimore City,284,286,382,655,890,0,286.0,382.0,655.0,890.0
21206,Baltimore,Baltimore City,346,354,479,791,885,0,354.0,479.0,791.0,885.0
21211,Baltimore,Baltimore City,465,471,598,889,885,0,471.0,598.0,889.0,885.0
21231,Baltimore,Baltimore City,367,366,508,813,885,0,366.0,508.0,813.0,885.0
21207,Gwynn Oak,Baltimore County,457,464,597,970,1714,1,232.0,298.5,485.0,857.0
20736,Owings,Calvert County,208,214,272,520,842,0,214.0,272.0,520.0,842.0
20636,Hollywood,Saint Mary's County,203,210,273,521,841,0,210.0,273.0,521.0,841.0
21036,Dayton,Howard County,187,190,253,493,832,0,190.0,253.0,493.0,832.0
20818,Cabin John,Montgomery County,200,205,266,490,829,0,205.0,266.0,490.0,829.0
21619,Chester,Queen Anne's County,210,217,279,527,829,0,217.0,279.0,527.0,829.0
20678,Prince Frederick,Calvert County,198,203,264,479,820,0,203.0,264.0,479.0,820.0
20724,Laurel,Anne Arundel County,495,496,645,1023,1638,1,248.0,322.5,511.5,819.0
21210,Baltimore,Baltimore City,581,591,723,817,817,0,591.0,723.0,817.0,817.0
21229,Baltimore,Baltimore City,372,374,508,801,817,0,374.0,508.0,801.0,817.0
20861,Ashton,Montgomery County,192,200,259,490,816,0,200.0,259.0,490.0,816.0
20707,Laurel,Prince George's County,827,820,989,1412,2400,2,273.3,329.7,470.7,800.0
21120,Parkton,Baltimore County,202,207,266,486,797,0,207.0,266.0,486.0,797.0
21737,Glenelg,Howard County,185,190,251,473,797,0,190.0,251.0,473.0,797.0
21093,Lutherville Timonium,Baltimore County,1181,1250,1568,2901,3978,4,250.0,313.6,580.2,795.6
21239,Baltimore,Baltimore City,193,197,259,488,791,0,197.0,259.0,488.0,791.0
21152,Sparks Glencoe,Baltimore County,168,175,238,427,785,0,175.0,238.0,427.0,785.0
21620,Chestertown,Kent County,191,198,259,471,784,0,198.0,259.0,471.0,784.0
21015,Bel Air,Harford County,712,706,885,1314,2288,2,235.3,295.0,438.0,762.7
21009,Abingdon,Harford County,487,495,616,970,1521,1,247.5,308.0,485.0,760.5
21111,Monkton,Baltimore County,168,170,230,445,760,0,170.0,230.0,445.0,760.0
21216,Baltimore,Baltimore City,158,167,226,434,757,0,167.0,226.0,434.0,757.0
21794,West Friendship,Howard County,158,162,223,433,749,0,162.0,223.0,433.0,749.0
